#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-08-23 20:12:02.121
#Sample rate: 1.33333e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 8 kHz
#Period: 125 us
#Amplitude: 3 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0003409898250747012,2.993661057312209,2.680334533599699
-0.0003409148250747012,3.00352675647422,2.680334533599699
-0.0003408398250747012,3.00352675647422,2.691006607402721
-0.0003407648250747012,2.993661057312213,2.680334533599704
-0.0003406898250747012,3.00352675647422,2.691006607402726
-0.0003406148250747012,3.00352675647422,2.691006607402726
-0.0003405398250747012,2.993661057312209,2.691006607402726
-0.0003404648250747012,3.00352675647422,2.691006607402726
-0.0003403898250747012,3.00352675647422,2.691006607402726
-0.0003403148250747012,2.983795358150197,2.701678681205753
-0.0003402398250747012,2.993661057312209,2.701678681205753
-0.0003401648250747012,2.993661057312209,2.701678681205753
-0.0003400898250747012,2.993661057312213,2.701678681205753
-0.0003400148250747012,3.00352675647422,2.701678681205753
-0.0003399398250747012,2.993661057312209,2.701678681205753
-0.0003398648250747012,3.00352675647422,2.701678681205753
-0.0003397898250747012,3.00352675647422,2.701678681205753
-0.0003397148250747012,3.013392455636227,2.71235075500878
-0.0003396398250747012,3.00352675647422,2.71235075500878
-0.0003395648250747012,2.993661057312209,2.71235075500878
-0.0003394898250747012,2.993661057312209,2.71235075500878
-0.0003394148250747012,2.993661057312209,2.723022828811807
-0.0003393398250747012,2.993661057312209,2.723022828811807
-0.0003392648250747012,2.993661057312209,2.71235075500878
-0.0003391898250747012,2.993661057312209,2.723022828811807
-0.0003391148250747012,3.003526756474216,2.723022828811807
-0.0003390398250747012,2.993661057312213,2.723022828811807
-0.0003389648250747012,3.00352675647422,2.723022828811807
-0.0003388898250747012,3.00352675647422,2.723022828811807
-0.0003388148250747012,3.00352675647422,2.733694902614834
-0.0003387398250747012,3.00352675647422,2.723022828811812
-0.0003386648250747012,3.00352675647422,2.733694902614834
-0.0003385898250747012,3.00352675647422,2.744366976417861
-0.0003385148250747012,2.993661057312209,2.733694902614834
-0.0003384398250747012,2.993661057312209,2.744366976417856
-0.0003383648250747012,3.003526756474216,2.733694902614839
-0.0003382898250747012,2.993661057312209,2.744366976417861
-0.0003382148250747012,3.00352675647422,2.744366976417861
-0.0003381398250747012,2.993661057312209,2.733694902614834
-0.0003380648250747012,2.993661057312209,2.755039050220878
-0.0003379898250747012,2.993661057312213,2.744366976417856
-0.0003379148250747012,3.00352675647422,2.733694902614834
-0.0003378398250747012,3.00352675647422,2.744366976417861
-0.0003377648250747012,3.013392455636231,2.755039050220888
-0.0003376898250747012,3.023258154798238,2.755039050220883
-0.0003376148250747012,3.013392455636231,2.744366976417861
-0.0003375398250747012,3.013392455636231,2.755039050220888
-0.0003374648250747012,3.00352675647422,2.755039050220888
-0.0003373898250747012,2.993661057312213,2.755039050220888
-0.0003373148250747012,3.003526756474216,2.76571112402391
-0.0003372398250747012,2.993661057312209,2.755039050220888
-0.0003371648250747012,2.993661057312209,2.765711124023915
-0.0003370898250747012,2.993661057312209,2.765711124023915
-0.0003370148250747012,3.003526756474216,2.755039050220893
-0.0003369398250747012,3.00352675647422,2.765711124023915
-0.0003368648250747012,3.00352675647422,2.765711124023915
-0.0003367898250747012,3.013392455636231,2.776383197826942
-0.0003367148250747012,3.023258154798238,2.76571112402392
-0.0003366398250747012,3.013392455636231,2.776383197826942
-0.0003365648250747012,3.013392455636231,2.776383197826942
-0.0003364898250747012,3.023258154798243,2.776383197826942
-0.0003364148250747012,3.013392455636231,2.776383197826942
-0.0003363398250747012,3.003526756474225,2.776383197826942
-0.0003362648250747012,3.00352675647422,2.776383197826946
-0.0003361898250747012,3.00352675647422,2.787055271629969
-0.0003361148250747012,3.00352675647422,2.787055271629969
-0.0003360398250747012,3.00352675647422,2.776383197826942
-0.0003359648250747012,3.00352675647422,2.776383197826946
-0.0003358898250747012,3.00352675647422,2.787055271629969
-0.0003358148250747012,3.013392455636231,2.787055271629969
-0.0003357398250747012,3.013392455636231,2.787055271629969
-0.0003356648250747012,3.013392455636231,2.797727345432991
-0.0003355898250747012,3.013392455636231,2.787055271629969
-0.0003355148250747012,3.013392455636231,2.787055271629969
-0.0003354398250747012,3.013392455636231,2.787055271629969
-0.0003353648250747012,3.00352675647422,2.787055271629969
-0.0003352898250747012,2.993661057312213,2.797727345432991
-0.0003352148250747012,2.993661057312213,2.797727345432996
-0.0003351398250747012,3.00352675647422,2.797727345432996
-0.0003350648250747012,3.00352675647422,2.797727345432996
-0.0003349898250747012,3.00352675647422,2.808399419236022
-0.0003349148250747012,3.00352675647422,2.808399419236018
-0.0003348398250747012,3.00352675647422,2.797727345432996
-0.0003347648250747012,3.00352675647422,2.797727345432996
-0.0003346898250747012,3.013392455636231,2.808399419236022
-0.0003346148250747012,3.023258154798238,2.819071493039045
-0.0003345398250747012,3.023258154798238,2.808399419236018
-0.0003344648250747012,3.013392455636231,2.797727345432996
-0.0003343898250747012,3.013392455636231,2.808399419236022
-0.0003343148250747012,3.013392455636231,2.808399419236022
